2019-01-02 06:36:11,b'I feel Not #Demonetisation  but appointing  Yogi as  UP CM was real Disaster for @BJP4India'
2019-01-02 06:32:07,"b""@akashbanerjee @aniljothomas Whem PM stated he 'worries abt country's needs not political risks', a good probing qu\xe2\x80\xa6 https://t.co/cnCpxbLgIS"""
2019-01-02 06:31:18,"b'""What economic growth did #GST and #demonetisation result in?"" #ChandrababuNaidu asked. https://t.co/1xwEMKka9T'"
2019-01-02 06:17:57,"b'@Kumarpr61583398 @KaDevender @Yadavdimplesp Brother, could you please let me know benefits of demonetization...\xf0\x9f\x91\x80\xe2\x80\xa6 https://t.co/rTVqJpwLNF'"
2019-01-02 06:01:08,"b'In his almost 95-minute long interview, PM #Modi spoke at length about #Demonetisation, #Rafale, #FarmLoanWaivers,\xe2\x80\xa6 https://t.co/xlkPIG0CkN'"
2019-01-02 05:50:54,b'Champions of Change Management... The lighter side of Change Management. There are some champions of Change Managem\xe2\x80\xa6 https://t.co/tUyIoPxXZP'
2019-01-02 05:44:36,b'@sagarikaghose @RBI \xf0\x9f\x98\x84\xf0\x9f\x98\x84 Tacit admission of misgovernance. Having a lead time of 1 year #demonetisation and yet \n\n- G\xe2\x80\xa6 https://t.co/V6ZOh0doPZ'
2019-01-02 05:35:52,b'#Modi warned these people an year before #demonetisation but they were ignorant fools..... https://t.co/a8gacT0ioV'
2019-01-02 05:33:44,b'@priyankac19 #Demonetisation who was hurt the most = @INCIndia \n#SurgicalStrike during @INCIndia rule = NILL\n#Taxes\xe2\x80\xa6 https://t.co/tyFWBkjzFl'
2019-01-02 05:25:24,b'#NewYear #smiles: And we\xe2\x80\x99re still #laughing our way out of the #Demonetisation #Chaos\n https://t.co/4AKueRdQ4Z via @scroll_in'
2019-01-02 05:24:45,b'#Modi2019Interview #DEMONETISATION\nwas well kept secret within the courtiers for the benefit of cronies. https://t.co/MtAXhWEdhK'
2019-01-02 05:14:09,"b""#globalgoals History's 1st book of its kind:Was time chosen for #demonetisation in #India OK https://t.co/Mpy1JjBLvl https://t.co/U0AtWy74pr"""
2019-01-02 05:02:35,b'#AadharAmendmentsBill is one more last minute attempt to serve the corporate world. The people of this country are\xe2\x80\xa6 https://t.co/0bMSzdiC35'
2019-01-02 04:54:39,"b""Modi's interview to ANI was nothing about the nation. He told only about their propaganda which he speaks many time\xe2\x80\xa6 https://t.co/wjSJf4bsS2"""
2019-01-02 04:52:37,"b'Ask anyone - #Ambani, #Adani, #PayTm or #AmitShah. They were all warned well in advance about #DEMONetisation... https://t.co/JaAnpVJkhJ'"
2019-01-02 04:48:26,b'@PriyabrataT @PMOIndia @adgpi @rashtrapatibhvn @ShekharGupta @rwac48 The more he speaks the more @narendramodi_in e\xe2\x80\xa6 https://t.co/722KNMkNnP'
2019-01-02 04:45:19,b'A night in advance dramatic announcement #Demonetisation\n+\nA zillion glaring lies like #TripleTalaq is gender equal\xe2\x80\xa6 https://t.co/txjqQKzAMH'
2019-01-02 04:42:15,"b'@narendramodi misusing office, NIA, IB, I-Tax, ED, raw to create fake terror alerts, implicate innocent Muslims, hi\xe2\x80\xa6 https://t.co/uxxvIsyD9U'"
2019-01-02 04:31:51,"b'Viewpoint: Defending #Demonetisation move, #PMModi said it was necessary to formalise the economy.  The parallel ec\xe2\x80\xa6 https://t.co/lH5jSPNVTS'"
2019-01-02 04:18:47,b'#GreatPHOOL but #ChalaakPM (I mean it) @narendramodi is the #FakestPatriotEver he can never defend #Demonetisation\xe2\x80\xa6 https://t.co/FAmZrQz0YP'
2019-01-02 03:43:01,b'Close encounters with black money............\n#banking #economy #economics #blackmoney #Diwali #festival\xe2\x80\xa6 https://t.co/Pvw67N4Bxl'
2019-01-02 03:25:45,b'But #NarendraModiInterview just said - #demonetisation was necessary??\n\nYou all KamBhakts first decide please https://t.co/K4lB3ey2UR'
2019-01-02 03:25:27,b'@thesuniljain @gsurya @narendramodi @RBI @DasShaktikanta But #NarendraModiInterview just said - #demonetisation was\xe2\x80\xa6 https://t.co/VTjMRqiPtb'
2019-01-02 03:20:19,"b'I agree with Modi-ji - #demonetisationdisaster was not a Jahtka, rather it was like Halal where the Indian small in\xe2\x80\xa6 https://t.co/sQ7ElA8pWv'"
2019-01-02 03:17:15,b'@RahulGandhi @PMOIndia @BBCBreaking @CNN @CNNnews18 @newsography1 @NewsX @ndtv @TimesNow @TV9Telugu And #Modiji did\xe2\x80\xa6 https://t.co/xRFapPzaiT'
2019-01-02 03:16:15,"b'A very welcome step by #RBI as #MSME sector suffered most from twin financial experiments, viz., #Demonetisation &amp;\xe2\x80\xa6 https://t.co/UrtoXCHD57'"
2019-01-02 02:50:47,"b'What killed @narendramodi\n\n1) #Demonetisation diluted by Private Banks, RBI staff\n2) unable to convince ppl that\xe2\x80\xa6 https://t.co/M1ZVz9NtHB'"
2019-01-02 02:42:23,"b'@DrGPradhan Sir, this is weak point for @BJP4India spoke personal as they r not giving factual data to counter cong\xe2\x80\xa6 https://t.co/rF9XUhEwHq'"
2019-01-02 02:10:22,b'@MrsGandhi Ppl relect us on our work not on what congress has done or not done.#Demonetisation n complicated #GST i\xe2\x80\xa6 https://t.co/IVcEzMD8jU'
2019-01-02 02:00:00,"b'Prime Minister @NarendraModi, in an interview to #ANI on Monday, spoke on a host of issues including\xe2\x80\xa6 https://t.co/M7OdfPjRVQ'"
2019-01-02 01:09:24,b'@_NAN_DINI @rajeshparikh999 Jeweller allergic to Media/Journalists. But not allergic to #Presstitutes. Profession r\xe2\x80\xa6 https://t.co/Z2UGtVEcr7'
2019-01-02 00:43:43,b'D\xe2\x80\x99uh! Ms @sagarikaghose.\nMr Modi had given ample warning to crooks to disclose all their ill gotten money. They did\xe2\x80\xa6 https://t.co/qXdw9gCwsA'
2019-01-02 00:42:11,"b'@narendramodi @ANI Oh yes, well crafted, well planned interview unlike #demonetisation'"
2019-01-01 22:04:03,"b""#globalgoals History's 1st book of its kind:Was time chosen for #demonetisation in #India OK https://t.co/NEVZRCrTaz https://t.co/cKnXGvoN9c"""
2019-01-01 21:49:01,"b""#USSR #cash #Cashless 1 author encyclopedia site:Modi's #demonetisation -boon/bane for India https://t.co/gI3ZyZ7sa1 https://t.co/TrM0nl4KqW"""
2019-01-01 21:43:26,"b'Some how, #PM @narendramodi has still that amazing ability to Defend,Deliver a +ve ans to audience.\nAs he beautiful\xe2\x80\xa6 https://t.co/GaQdxh2WtJ'"
2019-01-01 21:33:39,"b""Waiting for INC's Reaction after #PMtoANI #PMInterview .\n\nExpecting They gonna declare it either #Scripted or\xe2\x80\xa6 https://t.co/rFJikgPun9"""
2019-01-01 21:15:19,"b'@cvisuali\nBiggest Fraud &amp; Jumla trickle down by actually trickle up knowledge, but Modi is driver of this, he did\xe2\x80\xa6 https://t.co/6bXrObycmV'"
2019-01-01 20:57:53,"b'Biggest Fraud &amp; Jumla of them all trickle down by actually trickle up knowledge, but Modi is the driver of this, he\xe2\x80\xa6 https://t.co/Wkm9mimmXq'"
2019-01-01 20:02:08,"b""1st look of #2019Elections released by #PMModi .\nFrom #Interview with #ANI's #SmitaPrakash He started the Campaigni\xe2\x80\xa6 https://t.co/5Tf3JnTQqK"""
2019-01-01 19:56:29,b'@Joydas The big question still remains... what were the outcomes from #Demonetisation that the emperor thinks impro\xe2\x80\xa6 https://t.co/66mrLwNz8S'
2019-01-01 19:47:46,"b'Please watch complete interview of PM Modi ji on each and every topic including #RamMandir, #TripleTalaq,#GST,\xe2\x80\xa6 https://t.co/Xh3Kao45eG'"
2019-01-01 19:34:00,b'Main accused in Rs 1cr demonetised currency case held https://t.co/0Nsy5PRK2K via @TOICitiesNews @rimesofindia\xe2\x80\xa6 https://t.co/sJzrW3FfGz'
2019-01-01 19:05:18,"b""#Demonetisation according to Modiji wasn't a jhatka. \nOrganised loot &amp; legalised plunder as said by Dr Manmohan Sin\xe2\x80\xa6 https://t.co/mdM70am8zL"""
2019-01-01 18:48:27,"b'#Tourism in every speech was a constant theme in 2014 campaign of .#BJP, but look around...The way they strangulate\xe2\x80\xa6 https://t.co/mk6cbxa2pK'"
2019-01-01 18:47:24,"b""Mr Modi's decisions like #Demonetisation , #GST , tax on agri sector &amp; #mudraloans wr based on ideas like 'contribu\xe2\x80\xa6 https://t.co/vcEri2bOJu"""
2019-01-01 18:40:03,b'This man is living in his own dream world surrounded by sycophants who do not have the guts to tell him that\xe2\x80\xa6 https://t.co/nPy3bYOa2d'
2019-01-01 18:18:30,b'So the Jhatka... Which happened in 2016.. After 2years + the PM comes forward and says and informs the nation that\xe2\x80\xa6 https://t.co/ONrzMKNOSb'
2019-01-01 18:18:00,"b'What about people who had no ""Black Money"", Farmers or Poor people whose life savings are now wiped out by Banks de\xe2\x80\xa6 https://t.co/pu23YBdSlo'"
2019-01-01 18:10:01,b'@madversity So you justify\n#Lynching and #Demonetisation and u call these products of\nill thought &amp; badly implement\xe2\x80\xa6 https://t.co/MgFg8UXOzc'
2019-01-01 18:03:57,b'A year before??? \xf0\x9f\x98\xb2 Why u guys are stooped to lying \xe2\x98\xb9\xef\xb8\x8f @PMOIndia @narendramodi #Demonetisation https://t.co/2GUhScGgLO'
2019-01-01 17:53:24,"b""Modi ji demonetisation didn't bring any black money\n\nMost of money collected through banks were money saved by wome\xe2\x80\xa6 https://t.co/6MecB2buaL"""
2019-01-01 17:48:26,b'He messed up #AndhraPradesh equally! He also messed up the #nation with #Demonetisation #Scam\n\nSlowly #people are r\xe2\x80\xa6 https://t.co/BPMjl8Qbd6'
2019-01-01 17:36:09,"b""@JaiveerShergill #modi already realised that #demonetisation is a 'Jhatka'to him &amp; his party #BJP and more to its t\xe2\x80\xa6 https://t.co/DpnB0senJ3"""
2019-01-01 17:29:55,b'@ndtv 150 lives lost ...still Jumla Man #Modi saying #Demonetisation is not a Jhatka'
2019-01-01 17:15:22,b'#Modi2019Interview \n#ModiInterview \n@ANI \n\nAlmost all points covered by @narendramodi ji\n\n* #Demonetisation  *\xe2\x80\xa6 https://t.co/pijuJsK8xo'
2019-01-01 17:15:17,b'#TheModiInterview @narendramodi #ThePMInterview to ANI sets the tone for Political Debate before 2019 elections. PM\xe2\x80\xa6 https://t.co/Vah9YirM8i'
2019-01-01 17:06:28,b'smart guy. wanted to pack his bags well before may 2019. #Modisaster #ModiMadeDisaster #Demonetisation https://t.co/hftUz5JLWq'
2019-01-01 17:05:02,"b""#cash #Cashless 1 author encyclopedia site:Modi's #demonetisation -boon/bane for India https://t.co/q8bXNNsf98 https://t.co/EVPAB7yKRo"""
2019-01-01 16:57:44,b'@republic Absolutely!! See how the Maha Gathbandhan dream of Modi Defeat soon becomes Modi Feat .... Great intervie\xe2\x80\xa6 https://t.co/6H0Aa3KvZu'
2019-01-01 16:49:42,b'Modi Then:  #Demonetisation had to kept extreme secret or Black Money would flee ..\n#PMtoANI : I warned about\xe2\x80\xa6 https://t.co/f96ksYD8fX'
2019-01-01 16:48:56,"b'@PMOIndia has taken long term effect decisions e.g \n@swachhbharat, @MudraCampaign\n#Demonetisation\n#GST\xe2\x80\xa6 https://t.co/6k0ZVgWonN'"
2019-01-01 16:41:38,b'I think @smitaprakash mam Almost all of the difficult questions have been asked from @narendramodi ji\xe2\x80\xa6 https://t.co/EguBAMVmYN'
2019-01-01 16:39:49,b'I ..an ordinary commoner was first suggesting #demonetisation on Twitter...Had that then been executed ..it would h\xe2\x80\xa6 https://t.co/MTsJcbK7Nd'
2019-01-01 16:38:05,b'@rkhuria @Subytweets Ppl on Twitter probably had the means to manage.  \n\nWhen my Modi-Bhakt friend told me about\xe2\x80\xa6 https://t.co/xbc9T6xeC4'
2019-01-01 16:31:51,"b'""Notes Ban Wasn\'t A Jhatka, Had Warned People A Year Earlier"": PM Narendra Modi on #Demonetisation\n\n#Modi2019Interview'"
2019-01-01 16:29:55,b'Does he take responsibility for #Demonetisation disaster? Why petrol and diesel not in ambit of GST? Does he take r\xe2\x80\xa6 https://t.co/z8DGTadnLG'
2019-01-01 16:26:50,b'@republic @ARanganathan72 #Modi2019Interview The PM must be commended for being very correct on critical issues lik\xe2\x80\xa6 https://t.co/Cq9GP7r1NJ'
